	no_SRA
*sample_name	no_SRA
ncbi_sequence_name_biosample_genbank	MPXV_EI
*author	James Heuser
*isolate	MPXV_Not_real
*organism	Monkeypox Virus
*collection_date	2012-12-23 00:00:00
country	USA
state	Not Provided
collected_by	Not Provided
sample_type	Not Provided
lat_lon	Not Provided
purpose_of_sampling	Not Provided
sex	Not Provided
age	Not Provided
race	Not Provided
ethnicity	Not Provided
assembly_protocol	Not Provided
assembly_method	Not Provided
mean_coverage	Not Provided
ncbi_sequence_name_sra	Not Provided
illumina_sequencing_instrument	Not Provided
illumina_library_strategy	Not Provided
illumina_library_source	Not Provided
illumina_library_selection	Not Provided
illumina_library_layout	Not Provided
illumina_library_protocol	Not Provided
illumina_sra_file_path_1	Not Provided
illumina_sra_file_path_2	Not Provided
nanopore_sequencing_instrument	Not Provided
nanopore_library_strategy	Not Provided
nanopore_library_source	Not Provided
nanopore_library_selection	Not Provided
nanopore_library_layout	Not Provided
nanopore_library_protocol	Not Provided
nanopore_sra_file_path_1	Not Provided
